feature,bucket_code,bucket_label
rank_pos,0,[missing or nonfinite]
rank_pos,1,value: 1
rank_pos,2,value: 2
rank_pos,3,value: 3
rank_pos,4,value: 4
rank_pos,5,value: 5
apy,0,[missing or nonfinite]
apy,1,"[0.996645, 3.368008]"
apy,2,"(3.368008, 3.654337]"
apy,3,"(3.654337, 3.8604]"
apy,4,"(3.8604, 4.035451]"
apy,5,"(4.035451, 4.200245]"
apy,6,"(4.200245, 4.365204]"
apy,7,"(4.365204, 4.542077]"
apy,8,"(4.542077, 4.747692]"
apy,9,"(4.747692, 5.033374]"
apy,10,"(5.033374, 7.44563]"
apy_rank_on_widget,0,[missing or nonfinite]
apy_rank_on_widget,1,value: 1
apy_rank_on_widget,2,value: 2
apy_rank_on_widget,3,value: 3
apy_rank_on_widget,4,value: 4
apy_rank_on_widget,5,value: 5
apy_rank_on_widget,6,value: 6
min_investment_amount,0,[missing or nonfinite]
min_investment_amount,1,value: 0
min_investment_amount,2,value: 500
min_investment_amount,3,value: 1000
min_investment_amount,4,value: 5000
min_investment_amount,5,value: 10000
min_investment_amount,6,value: 25000
term_months,0,[missing or nonfinite]
term_months,1,value: 3
term_months,2,value: 6
term_months,3,value: 12
term_months,4,value: 24
term_months,5,value: 36
term_months,6,value: 60
listing_set,0,[missing]
listing_set,1,[other: 0 pooled levels]
listing_set,2,value: 0
listing_set,3,value: 1
mbt_star_rating,0,[missing or nonfinite]
mbt_star_rating,1,value: 1
mbt_star_rating,2,value: 2
mbt_star_rating,3,value: 3
mbt_star_rating,4,value: 4
mbt_star_rating,5,value: 5
assets_usd,0,[missing or nonfinite]
assets_usd,1,"[42880.85, 1.014381e+08]"
assets_usd,2,"(1.014381e+08, 2.452518e+08]"
assets_usd,3,"(2.452518e+08, 4.621399e+08]"
assets_usd,4,"(4.621399e+08, 7.949485e+08]"
assets_usd,5,"(7.949485e+08, 1.317795e+09]"
assets_usd,6,"(1.317795e+09, 2.183161e+09]"
assets_usd,7,"(2.183161e+09, 3.760561e+09]"
assets_usd,8,"(3.760561e+09, 7.062467e+09]"
assets_usd,9,"(7.062467e+09, 1.692633e+10]"
assets_usd,10,"(1.692633e+10, 1.397543e+13]"
popularity_tier_national,0,[missing]
popularity_tier_national,1,[other: 0 pooled levels]
popularity_tier_national,2,value: medium
popularity_tier_national,3,value: low
popularity_tier_national,4,value: high
trust_tier_1to5,0,[missing or nonfinite]
trust_tier_1to5,1,value: 1
trust_tier_1to5,2,value: 2
trust_tier_1to5,3,value: 3
trust_tier_1to5,4,value: 4
trust_tier_1to5,5,value: 5
widget_pos,0,[missing or nonfinite]
widget_pos,1,value: 1
widget_pos,2,value: 2
widget_pos,3,value: 3
widget_pos,4,value: 4
widget_pos,5,value: 5
inventory_type,0,[missing]
inventory_type,1,[other: 0 pooled levels]
inventory_type,2,value: 0
inventory_type,3,value: 1
widget_id,0,[missing]
widget_id,1,[other: 15000 pooled levels]
device_type_id,0,[missing]
device_type_id,1,[other: 0 pooled levels]
device_type_id,2,value: 1
device_type_id,3,value: 2
device_type_id,4,value: 3
compounding_method,0,[missing]
compounding_method,1,[other: 0 pooled levels]
compounding_method,2,value: annually
compounding_method,3,value: quarterly
compounding_method,4,value: daily
compounding_method,5,value: monthly
state_code,0,[missing]
state_code,1,[other: 0 pooled levels]
state_code,2,value: WA
state_code,3,value: FL
state_code,4,value: IL
state_code,5,value: NY
state_code,6,value: MN
state_code,7,value: TX
state_code,8,value: CA
state_code,9,value: WI
advertiser_customer_id,0,[missing]
advertiser_customer_id,1,[other: 80 pooled levels]
advertiser_customer_id,2,value: 292
advertiser_customer_id,3,value: 265
advertiser_customer_id,4,value: 332
advertiser_customer_id,5,value: 348
advertiser_customer_id,6,value: 279
advertiser_customer_id,7,value: 291
advertiser_customer_id,8,value: 295
advertiser_customer_id,9,value: 276
advertiser_customer_id,10,value: 274
advertiser_customer_id,11,value: 345
advertiser_customer_id,12,value: 318
advertiser_customer_id,13,value: 290
advertiser_customer_id,14,value: 278
advertiser_customer_id,15,value: 304
advertiser_customer_id,16,value: 252
advertiser_customer_id,17,value: 334
advertiser_customer_id,18,value: 317
advertiser_customer_id,19,value: 298
advertiser_customer_id,20,value: 330
advertiser_customer_id,21,value: 263
advertiser_account_id,0,[missing]
advertiser_account_id,1,[other: 380 pooled levels]
advertiser_account_id,2,value: 1161
advertiser_account_id,3,value: 1122
advertiser_account_id,4,value: 1272
advertiser_account_id,5,value: 1062
advertiser_account_id,6,value: 1295
advertiser_account_id,7,value: 1264
advertiser_account_id,8,value: 1072
advertiser_account_id,9,value: 1330
advertiser_account_id,10,value: 1325
advertiser_account_id,11,value: 1004
advertiser_account_id,12,value: 1044
advertiser_account_id,13,value: 1010
advertiser_account_id,14,value: 1085
advertiser_account_id,15,value: 1393
advertiser_account_id,16,value: 1381
advertiser_account_id,17,value: 1168
advertiser_account_id,18,value: 1115
advertiser_account_id,19,value: 1175
advertiser_account_id,20,value: 1052
advertiser_account_id,21,value: 1033
listing_style_id,0,[missing]
listing_style_id,1,[other: 0 pooled levels]
listing_style_id,2,value: 4
listing_style_id,3,value: 3
listing_style_id,4,value: 1
listing_style_id,5,value: 2
publisher.accountid,0,[missing]
publisher.accountid,1,[other: 60 pooled levels]
publisher.accountid,2,value: 164
publisher.accountid,3,value: 148
publisher.accountid,4,value: 133
publisher.accountid,5,value: 109
publisher.accountid,6,value: 156
publisher.accountid,7,value: 166
publisher.accountid,8,value: 163
publisher.accountid,9,value: 101
publisher.accountid,10,value: 121
publisher.accountid,11,value: 140
publisher.accountid,12,value: 165
publisher.accountid,13,value: 120
publisher.accountid,14,value: 138
publisher.accountid,15,value: 179
publisher.accountid,16,value: 157
publisher.accountid,17,value: 143
publisher.accountid,18,value: 139
publisher.accountid,19,value: 147
publisher.accountid,20,value: 131
publisher.accountid,21,value: 103
media_channel,0,[missing]
media_channel,1,[other: 0 pooled levels]
media_channel,2,value: organic
media_channel,3,value: paid
media_channel,4,value: email
media_channel,5,value: referral
publisher_customer_id,0,[missing]
publisher_customer_id,1,[other: 20 pooled levels]
publisher_customer_id,2,value: 82
publisher_customer_id,3,value: 78
publisher_customer_id,4,value: 60
publisher_customer_id,5,value: 54
publisher_customer_id,6,value: 66
publisher_customer_id,7,value: 74
publisher_customer_id,8,value: 69
publisher_customer_id,9,value: 50
publisher_customer_id,10,value: 71
publisher_customer_id,11,value: 51
publisher_customer_id,12,value: 89
publisher_customer_id,13,value: 65
publisher_customer_id,14,value: 67
publisher_customer_id,15,value: 70
publisher_customer_id,16,value: 58
publisher_customer_id,17,value: 77
publisher_customer_id,18,value: 56
publisher_customer_id,19,value: 81
publisher_customer_id,20,value: 75
