feature,type,rows,missing_count,missing_fraction,unique_nonmissing,dominant_fraction_nonmissing,source_dtype,flags,unique_fraction_nonmissing,entropy_nats_nonmissing,effective_levels_nonmissing,singleton_levels,rare_levels,rare_row_fraction,pooled_row_fraction,retained_levels
listing_set,categorical,1000000,0,0.0,2,0.500676,int8,,2e-06,0.6931462666076669,1.9999981720962785,0.0,0.0,0.0,0.0,2.0
popularity_tier_national,categorical,1000000,0,0.0,3,0.334013,object,,3e-06,1.0986111496198099,2.9999965828570465,0.0,0.0,0.0,0.0,3.0
inventory_type,categorical,1000000,0,0.0,2,0.500453,int8,,2e-06,0.6931467701418892,1.9999991791640561,0.0,0.0,0.0,0.0,2.0
widget_id,categorical,1000000,0,0.0,15000,9.9e-05,int32,high_cardinality; most_categories_pooled_signal_may_be_hidden,0.015,9.608390441667344,14889.185777343208,0.0,15000.0,1.0,1.0,0.0
device_type_id,categorical,1000000,0,0.0,3,0.6005,int8,,3e-06,0.823319336143977,2.2780489117341443,0.0,0.0,0.0,0.0,3.0
compounding_method,categorical,1000000,0,0.0,4,0.250882,object,,4e-06,1.3862889157779725,3.999978218691631,0.0,0.0,0.0,0.0,4.0
state_code,categorical,1000000,39763,0.039763,8,0.12545965214837587,object,,8.33127654943519e-06,2.079438483090334,7.999975531321405,0.0,0.0,0.0,0.0,8.0
advertiser_customer_id,categorical,1000000,0,0.0,100,0.010275,int32,most_categories_pooled_signal_may_be_hidden,0.0001,4.605113283812769,99.99430994435758,0.0,0.0,0.0,0.796904,20.0
advertiser_account_id,categorical,1000000,0,0.0,400,0.002641,int32,most_categories_pooled_signal_may_be_hidden,0.0004,5.991269021183223,399.9217972756756,0.0,0.0,0.0,0.947944,20.0
listing_style_id,categorical,1000000,0,0.0,4,0.250312,int8,,4e-06,1.3862939805462584,3.999998477705761,0.0,0.0,0.0,0.0,4.0
publisher.accountid,categorical,1000000,0,0.0,80,0.01277,int16,most_categories_pooled_signal_may_be_hidden,8e-05,4.381985929388627,79.99674364345552,0.0,0.0,0.0,0.747193,20.0
media_channel,categorical,1000000,0,0.0,4,0.45044,object,,4e-06,1.2354589437691819,3.439956905270467,0.0,0.0,0.0,0.0,4.0
publisher_customer_id,categorical,1000000,0,0.0,40,0.025391,int16,,4e-05,3.6888552145715607,39.99903043005599,0.0,0.0,0.0,0.497144,20.0
service_code,categorical,1000000,0,0.0,3,0.333999,object,,3e-06,1.0986112343929293,2.999996837176126,0.0,0.0,0.0,0.0,3.0
week_day,categorical,1000000,0,0.0,7,0.143725,int8,,7e-06,1.9459004643036726,6.999932207066794,0.0,0.0,0.0,0.0,7.0
