feature,type,decision,expected_direction,related_features,reason,cohens_d,raw_numeric_auc,direction_free_auc,mi_nats
rank_pos,numerical,keep,negative,,No enabled exclusion or review rule fired; retain as a candidate for later model validation. Raw AUC 0.3260 indicates an inverse ranking; negating the score gives AUC 0.6740. This alone is not an exclusion reason.,-0.6197867576548179,0.32604532627997074,0.6739546737200293,0.007999604714602591
apy,numerical,keep,positive,,No enabled exclusion or review rule fired; retain as a candidate for later model validation.,0.533036486002365,0.6498256665327419,0.6498256665327419,0.005438004385007224
apy_rank_on_widget,numerical,keep,negative,,No enabled exclusion or review rule fired; retain as a candidate for later model validation. Raw AUC 0.3847 indicates an inverse ranking; negating the score gives AUC 0.6153. This alone is not an exclusion reason.,-0.43773047209951993,0.3846682744184268,0.6153317255815731,0.0035337013421223792
min_investment_amount,numerical,review,unspecified,,"Binned/pooled MI 2.36511e-06 < 0.0001, |Cohen's d| 0.00230463 < 0.05, and |AUC - 0.5| 0.00214566 < 0.02; weak marginal association under these thresholds. Interactions remain possible. Raw AUC 0.4979 indicates an inverse ranking; negating the score gives AUC 0.5021. This alone is not an exclusion reason.",-0.0023046267787933065,0.49785434039873233,0.5021456596012677,2.3651075602516653e-06
term_months,numerical,keep,unspecified,,No enabled exclusion or review rule fired; retain as a candidate for later model validation. Raw AUC 0.4670 indicates an inverse ranking; negating the score gives AUC 0.5330. This alone is not an exclusion reason.,-0.10198744357320651,0.4669893153452055,0.5330106846547945,0.000352012701250187
listing_set,categorical,review,unspecified,,Binned/pooled MI 5.85168e-07 < 0.0001; weak marginal association under these thresholds. Interactions remain possible.,,,,5.851679318780476e-07
mbt_star_rating,numerical,review,unspecified,,"Binned/pooled MI 6.2524e-06 < 0.0001, |Cohen's d| 0.0227005 < 0.05, and |AUC - 0.5| 0.00642002 < 0.02; weak marginal association under these thresholds. Interactions remain possible.",0.022700547076487637,0.5064200204174517,0.5064200204174517,6.2523981598110775e-06
assets_usd,numerical,review,unspecified,,"Binned/pooled MI 2.89192e-06 < 0.0001, |Cohen's d| 0.0119559 < 0.05, and |AUC - 0.5| 0.00528228 < 0.02; weak marginal association under these thresholds. Interactions remain possible.",0.011955921650782622,0.5052822823030128,0.5052822823030128,2.8919171236138047e-06
popularity_tier_national,categorical,review,unspecified,,Binned/pooled MI 2.52726e-06 < 0.0001; weak marginal association under these thresholds. Interactions remain possible.,,,,2.5272597473761124e-06
trust_tier_1to5,numerical,review,unspecified,,"Binned/pooled MI 1.50397e-06 < 0.0001, |Cohen's d| 0.00102202 < 0.05, and |AUC - 0.5| 0.000287458 < 0.02; weak marginal association under these thresholds. Interactions remain possible.",0.0010220198152053116,0.5002874584211287,0.5002874584211287,1.503970682984135e-06
widget_pos,numerical,exclude,negative,rank_pos,"Spearman correlation with retained 'rank_pos' is +1.000000; absolute correlation threshold 0.950, based on 100,000 pairwise-complete sampled rows. Representative chosen by force_keep, prefer order, lower missingness, greater |AUC-0.5|, then config order. Raw AUC 0.3260 indicates an inverse ranking; negating the score gives AUC 0.6740. This alone is not an exclusion reason.",-0.6197867576548179,0.32604532627997074,0.6739546737200293,0.007999604714602591
inventory_type,categorical,review,unspecified,,Binned/pooled MI 2.89426e-08 < 0.0001; weak marginal association under these thresholds. Interactions remain possible.,,,,2.894257948362895e-08
widget_id,categorical,review,unspecified,,"15,000 observed categories >= 1,000; review identifier semantics, sparsity and unseen values. Most categorical values were pooled for analysis; increase max_categories or review these IDs before deciding.",,,,0.0
device_type_id,categorical,keep,unspecified,,No enabled exclusion or review rule fired; retain as a candidate for later model validation.,,,,0.0015945707785153039
compounding_method,categorical,review,unspecified,,Binned/pooled MI 1.55547e-06 < 0.0001; weak marginal association under these thresholds. Interactions remain possible.,,,,1.5554664175840472e-06
state_code,categorical,review,unspecified,,Binned/pooled MI 6.95257e-06 < 0.0001; weak marginal association under these thresholds. Interactions remain possible.,,,,6.9525708981434165e-06
advertiser_customer_id,categorical,review,unspecified,,Most categorical values were pooled for analysis; increase max_categories or review these IDs before deciding.,,,,1.0210405862403934e-05
advertiser_account_id,categorical,review,unspecified,,Most categorical values were pooled for analysis; increase max_categories or review these IDs before deciding.,,,,1.2283999901649064e-05
listing_style_id,categorical,review,unspecified,,Binned/pooled MI 2.06765e-06 < 0.0001; weak marginal association under these thresholds. Interactions remain possible.,,,,2.0676473646671102e-06
publisher.accountid,categorical,review,unspecified,,Most categorical values were pooled for analysis; increase max_categories or review these IDs before deciding.,,,,5.487797264858538e-05
media_channel,categorical,review,unspecified,,Binned/pooled MI 8.90235e-05 < 0.0001; weak marginal association under these thresholds. Interactions remain possible.,,,,8.902349833659267e-05
publisher_customer_id,categorical,review,unspecified,,Binned/pooled MI 7.73529e-05 < 0.0001; weak marginal association under these thresholds. Interactions remain possible.,,,,7.735292777487422e-05
service_code,categorical,review,unspecified,,Binned/pooled MI 1.61308e-06 < 0.0001; weak marginal association under these thresholds. Interactions remain possible.,,,,1.613076531885863e-06
week_day,categorical,review,unspecified,,Binned/pooled MI 2.65435e-06 < 0.0001; weak marginal association under these thresholds. Interactions remain possible.,,,,2.6543530957084255e-06
