feature_a,feature_b,type_a,type_b,sample_rows,pearson_r,valid_rows,spearman_r,missingness_phi,eta_squared,cramers_v_corrected
rank_pos,apy,numerical,numerical,100000,-0.0017690580718306827,96956,-0.001365544001103108,,,
rank_pos,apy_rank_on_widget,numerical,numerical,100000,0.00022315707017925792,100000,0.0002563526185954156,,,
rank_pos,min_investment_amount,numerical,numerical,100000,-0.004944409361462725,100000,-0.0029029109746942588,,,
rank_pos,term_months,numerical,numerical,100000,-0.004827392658468685,100000,-0.005268355035605811,,,
rank_pos,listing_set,numerical,categorical,100000,,100000,,,2.544319434908673e-07,
rank_pos,mbt_star_rating,numerical,numerical,100000,0.0006388886911995311,91940,0.000637121443340464,,,
rank_pos,assets_usd,numerical,numerical,100000,0.0012439759839250925,100000,-0.002119098349759459,,,
rank_pos,popularity_tier_national,numerical,categorical,100000,,100000,,,2.038003519632091e-05,
rank_pos,trust_tier_1to5,numerical,numerical,100000,-0.0004596801399450789,100000,-0.000472461925534407,,,
rank_pos,widget_pos,numerical,numerical,100000,0.9999999999999988,100000,1.0,,,
rank_pos,inventory_type,numerical,categorical,100000,,100000,,,1.1306986313071899e-06,
rank_pos,widget_id,numerical,categorical,100000,,100000,,,0.0,
rank_pos,device_type_id,numerical,categorical,100000,,100000,,,5.04525991216597e-06,
rank_pos,compounding_method,numerical,categorical,100000,,100000,,,4.082792956220846e-05,
rank_pos,state_code,numerical,categorical,100000,,100000,,,0.0001035921865824739,
rank_pos,advertiser_customer_id,numerical,categorical,100000,,100000,,,0.00018434598912547533,
rank_pos,advertiser_account_id,numerical,categorical,100000,,100000,,,0.00023723639135881248,
rank_pos,listing_style_id,numerical,categorical,100000,,100000,,,4.118052688052458e-05,
rank_pos,publisher.accountid,numerical,categorical,100000,,100000,,,0.0002152620157447349,
rank_pos,media_channel,numerical,categorical,100000,,100000,,,3.0249375659717473e-05,
rank_pos,publisher_customer_id,numerical,categorical,100000,,100000,,,0.00021161708251084344,
rank_pos,service_code,numerical,categorical,100000,,100000,,,3.3493723885120614e-05,
rank_pos,week_day,numerical,categorical,100000,,100000,,,3.67262887094139e-05,
apy,apy_rank_on_widget,numerical,numerical,100000,-0.7945067340937058,96956,-0.780767726767534,,,
apy,min_investment_amount,numerical,numerical,100000,-0.0017530029486231805,96956,7.980662500887239e-05,,,
apy,term_months,numerical,numerical,100000,-0.0006829116073421631,96956,0.00026546319469987045,,,
apy,listing_set,numerical,categorical,100000,,96956,,,1.7021448445701868e-06,
apy,mbt_star_rating,numerical,numerical,100000,0.0003213342646646018,89141,0.0003205939477473132,-7.407104021153374e-05,,
apy,assets_usd,numerical,numerical,100000,0.004634036235043858,96956,0.00185077879287405,,,
apy,popularity_tier_national,numerical,categorical,100000,,96956,,,2.9853757285818496e-05,
apy,trust_tier_1to5,numerical,numerical,100000,0.0023823206481142158,96956,0.002683937989484912,,,
apy,widget_pos,numerical,numerical,100000,-0.0017690580718306827,96956,-0.001365544001103108,,,
apy,inventory_type,numerical,categorical,100000,,96956,,,3.452282300728928e-05,
apy,widget_id,numerical,categorical,100000,,96956,,,0.0,
apy,device_type_id,numerical,categorical,100000,,96956,,,5.0300789989344685e-06,
apy,compounding_method,numerical,categorical,100000,,96956,,,1.0556374281019298e-05,
apy,state_code,numerical,categorical,100000,,96956,,0.0015403325457372242,6.438561646750104e-05,
apy,advertiser_customer_id,numerical,categorical,100000,,96956,,,0.00019128549555879704,
apy,advertiser_account_id,numerical,categorical,100000,,96956,,,0.00014098553120065813,
apy,listing_style_id,numerical,categorical,100000,,96956,,,3.26073942109992e-05,
apy,publisher.accountid,numerical,categorical,100000,,96956,,,0.00018293538679691623,
apy,media_channel,numerical,categorical,100000,,96956,,,3.658073648291886e-05,
apy,publisher_customer_id,numerical,categorical,100000,,96956,,,0.00020645763817015678,
apy,service_code,numerical,categorical,100000,,96956,,,1.4285750648824987e-05,
apy,week_day,numerical,categorical,100000,,96956,,,1.917153620520011e-05,
apy_rank_on_widget,min_investment_amount,numerical,numerical,100000,-0.0019779377818798724,100000,-0.0005751255243841679,,,
apy_rank_on_widget,term_months,numerical,numerical,100000,0.002114978380358318,100000,0.0013789418232009636,,,
apy_rank_on_widget,listing_set,numerical,categorical,100000,,100000,,,2.129777874445378e-07,
apy_rank_on_widget,mbt_star_rating,numerical,numerical,100000,0.0038017379151227514,91940,0.0033043694972744644,,,
apy_rank_on_widget,assets_usd,numerical,numerical,100000,-0.006925245077790424,100000,-0.0016403398725402278,,,
apy_rank_on_widget,popularity_tier_national,numerical,categorical,100000,,100000,,,4.531243754207154e-06,
apy_rank_on_widget,trust_tier_1to5,numerical,numerical,100000,1.5130328678999733e-05,100000,-0.0003793203364135428,,,
apy_rank_on_widget,widget_pos,numerical,numerical,100000,0.00022315707017925792,100000,0.0002563526185954156,,,
apy_rank_on_widget,inventory_type,numerical,categorical,100000,,100000,,,3.097783342070145e-05,
apy_rank_on_widget,widget_id,numerical,categorical,100000,,100000,,,0.0,
apy_rank_on_widget,device_type_id,numerical,categorical,100000,,100000,,,4.826706096430301e-06,
apy_rank_on_widget,compounding_method,numerical,categorical,100000,,100000,,,3.092474782278273e-05,
apy_rank_on_widget,state_code,numerical,categorical,100000,,100000,,,2.3913893593568857e-05,
apy_rank_on_widget,advertiser_customer_id,numerical,categorical,100000,,100000,,,0.00012066909192411489,
apy_rank_on_widget,advertiser_account_id,numerical,categorical,100000,,100000,,,0.00022909430958595006,
apy_rank_on_widget,listing_style_id,numerical,categorical,100000,,100000,,,6.635629647097281e-05,
apy_rank_on_widget,publisher.accountid,numerical,categorical,100000,,100000,,,0.00017987306345042012,
apy_rank_on_widget,media_channel,numerical,categorical,100000,,100000,,,2.678894235298576e-05,
apy_rank_on_widget,publisher_customer_id,numerical,categorical,100000,,100000,,,0.0002656462222124494,
apy_rank_on_widget,service_code,numerical,categorical,100000,,100000,,,3.487609507654354e-05,
apy_rank_on_widget,week_day,numerical,categorical,100000,,100000,,,3.573410594674891e-05,
min_investment_amount,term_months,numerical,numerical,100000,0.002780444071452493,100000,0.0027104464655059533,,,
min_investment_amount,listing_set,numerical,categorical,100000,,100000,,,3.4713094075450075e-09,
min_investment_amount,mbt_star_rating,numerical,numerical,100000,0.001225589336495093,91940,0.0025396142221481726,,,
min_investment_amount,assets_usd,numerical,numerical,100000,0.0005163620189846761,100000,0.0034563173841749045,,,
min_investment_amount,popularity_tier_national,numerical,categorical,100000,,100000,,,3.5085967051555976e-07,
min_investment_amount,trust_tier_1to5,numerical,numerical,100000,0.007920588421385127,100000,0.0066821898343995415,,,
min_investment_amount,widget_pos,numerical,numerical,100000,-0.004944409361462725,100000,-0.0029029109746942588,,,
min_investment_amount,inventory_type,numerical,categorical,100000,,100000,,,2.8775532983031454e-06,
min_investment_amount,widget_id,numerical,categorical,100000,,100000,,,0.0,
min_investment_amount,device_type_id,numerical,categorical,100000,,100000,,,5.495459093166598e-07,
min_investment_amount,compounding_method,numerical,categorical,100000,,100000,,,2.351275362555344e-05,
min_investment_amount,state_code,numerical,categorical,100000,,100000,,,1.9931866276670534e-05,
min_investment_amount,advertiser_customer_id,numerical,categorical,100000,,100000,,,0.0002623414377518821,
min_investment_amount,advertiser_account_id,numerical,categorical,100000,,100000,,,0.00021304483119195054,
min_investment_amount,listing_style_id,numerical,categorical,100000,,100000,,,4.9361082339757846e-05,
min_investment_amount,publisher.accountid,numerical,categorical,100000,,100000,,,7.750049600523995e-05,
