mi_nats,cramers_v_corrected,chi2_p_iid,min_expected_count,feature,type,analysis_rows,observed_buckets,flags,sample_rows_numeric_target,point_biserial_r,spearman_target,raw_numeric_auc,direction_free_auc,flipped_auc,ks_statistic,cohens_d,cohens_d_status,sample_rows_y1,sample_rows_y0,sample_mean_y1,sample_mean_y0,chi2_q_bh_iid
0.007999604714602591,0.12740359127222517,,7945.0,rank_pos,numerical,1000000,5,,100000.0,-0.11942272124001257,-0.11935803943219442,0.32604532627997074,0.6739546737200293,0.6739546737200293,0.2819134564733471,-0.6197867576548179,computed,3920.0,96080.0,2.17015306122449,3.0413821815154036,
0.007999604714602591,0.12740359127222517,,7945.0,widget_pos,numerical,1000000,5,,100000.0,-0.11942272124001257,-0.11935803943219442,0.32604532627997074,0.6739546737200293,0.6739546737200293,0.2819134564733471,-0.6197867576548179,computed,3920.0,96080.0,2.17015306122449,3.0413821815154036,
0.005438004385007224,0.11006675009279109,,1195.523875,apy,numerical,1000000,11,,96956.0,0.10304397506753822,0.10086861081562461,0.6498256665327419,0.6498256665327419,0.3501743334672581,0.2234471324636152,0.533036486002365,computed,3812.0,93144.0,4.527618126691576,4.182331215811331,
0.0035337013421223792,0.08709158020138649,,7.905275,apy_rank_on_widget,numerical,1000000,6,,100000.0,-0.08464653515608142,-0.08355633549296941,0.3846682744184268,0.6153317255815731,0.6153317255815731,0.18924471953644068,-0.43773047209951993,computed,3920.0,96080.0,2.4642857142857144,2.817985012489592,
0.0015945707785153039,0.05767085715974261,,1983.588425,device_type_id,categorical,1000000,3,,,,,,,,,,,,,,,
0.000352012701250187,0.026398907371502474,,6595.581475,term_months,numerical,1000000,6,,100000.0,-0.01978907645480464,-0.02250727876032801,0.4669893153452055,0.5330106846547945,0.5330106846547945,0.0664038471341909,-0.10198744357320651,computed,3920.0,96080.0,21.476020408163265,23.484679433805162,
8.902349833659267e-05,0.01349868225357344,,3988.032475,media_channel,categorical,1000000,4,,,,,,,,,,,,,,,
7.735292777487422e-05,0.011626300931997473,,993.641425,publisher_customer_id,categorical,1000000,21,,,,,,,,,,,,,,,
5.487797264858538e-05,0.009527661068715264,,499.97885,publisher.accountid,categorical,1000000,21,most_categories_pooled_signal_may_be_hidden,,,,,,,,,,,,,,
1.2283999901649064e-05,0.002032610914152254,,102.56995,advertiser_account_id,categorical,1000000,21,most_categories_pooled_signal_may_be_hidden,,,,,,,,,,,,,,
1.0210405862403934e-05,0.0008019866498946921,,401.103325,advertiser_customer_id,categorical,1000000,21,most_categories_pooled_signal_may_be_hidden,,,,,,,,,,,,,,
6.9525708981434165e-06,0.0024480874729268694,,1579.585175,state_code,categorical,1000000,9,,,,,,,,,,,,,,,
6.2523981598110775e-06,0.002753656088549673,,3171.763175,mbt_star_rating,numerical,1000000,6,,91940.0,0.00437959932821617,0.004379147497259604,0.5064200204174517,0.5064200204174517,0.4935799795825483,0.010103015324530673,0.022700547076487637,computed,3560.0,88380.0,3.0297752808988765,2.997680470694727,
2.8919171236138047e-06,0.0,,3972.5,assets_usd,numerical,1000000,10,,100000.0,0.002320308681611213,0.003551172438842189,0.5052822823030128,0.5052822823030128,0.49471771769698725,0.020459990823973206,0.011955921650782622,computed,3920.0,96080.0,10303491874.967487,9641149319.876905,
2.6543530957084255e-06,0.0,,5638.16925,week_day,categorical,1000000,7,,,,,,,,,,,,,,,
2.5272597473761124e-06,0.0017512775427287834,,13220.916975,popularity_tier_national,categorical,1000000,3,,,,,,,,,,,,,,,
2.3651075602516653e-06,0.0,,6610.756425,min_investment_amount,numerical,1000000,6,,100000.0,-0.00044726450531930024,-0.0014629498865654142,0.49785434039873233,0.5021456596012677,0.5021456596012677,0.006869275603663627,-0.0023046267787933065,computed,3920.0,96080.0,6908.035714285715,6928.268109908409,
2.0676473646671102e-06,0.0010594348102087705,,9921.716,listing_style_id,categorical,1000000,4,,,,,,,,,,,,,,,
1.613076531885863e-06,0.0011048767515256823,,13222.94295,service_code,categorical,1000000,3,,,,,,,,,,,,,,,
1.5554664175840472e-06,0.00033281890348500076,,9887.5525,compounding_method,categorical,1000000,4,,,,,,,,,,,,,,,
1.503970682984135e-06,0.0,,7923.349875,trust_tier_1to5,numerical,1000000,5,,100000.0,0.00019834587882531824,0.00019723831540526348,0.5002874584211287,0.5002874584211287,0.49971254157887135,0.0017447195364407309,0.0010220198152053116,computed,3920.0,96080.0,3.0068877551020408,3.0054433805162364,
5.851679318780476e-07,0.000412703714564582,,19835.6459,listing_set,categorical,1000000,2,,,,,,,,,,,,,,,
2.894257948362895e-08,0.0,,19844.504575,inventory_type,categorical,1000000,2,,,,,,,,,,,,,,,
0.0,,,,widget_id,categorical,1000000,1,high_cardinality; most_categories_pooled_signal_may_be_hidden,,,,,,,,,,,,,,
