bucket_1,bucket_2,rows,positives,negatives,positive_rate,lift,positive_rate_low_iid,positive_rate_high_iid,low_support
value: 1,value: 1,119988,7305,112683,0.060881088108810884,1.5325635773143078,0.05954214815310848,0.06224814426302993,False
value: 1,value: 2,70015,8179,61836,0.1168178247518389,2.9406626746844275,0.11445961263290126,0.11921808208364697,False
value: 1,value: 3,9997,572,9425,0.05721716514954486,1.4403314071628661,0.05283210371908854,0.0619423843624422,False
value: 2,value: 1,120228,5006,115222,0.041637555311574675,1.0481448788313321,0.040522970280334435,0.042781430095593535,False
value: 2,value: 2,69769,5618,64151,0.08052286832260747,2.027007383829011,0.07852683750981103,0.08256508914555315,False
value: 2,value: 3,10003,439,9564,0.04388683394981505,1.1047661157914423,0.040044628254841876,0.048079228053821886,False
value: 3,value: 1,120075,3190,116885,0.026566729127628565,0.6687659944022294,0.025672176915306807,0.027491572678412755,False
value: 3,value: 2,69975,2647,67328,0.03782779564130046,0.9522415517004521,0.036439436035377776,0.039266896741483454,False
value: 3,value: 3,9950,282,9668,0.02834170854271357,0.7134476662734692,0.025258619567339463,0.03178884910793223,False
value: 4,value: 1,120122,2016,118106,0.01678293734703052,0.4224779697175713,0.016071804342683276,0.017524975582510312,False
value: 4,value: 2,69902,1704,68198,0.02437698492174759,0.6136434215669625,0.023259622172204914,0.0255466204481704,False
value: 4,value: 3,9976,162,9814,0.01623897353648757,0.4087847334546902,0.013938438033065074,0.018911929397464704,False
value: 5,value: 1,120087,1361,118726,0.011333449915477946,0.2852976693638249,0.010750191281077215,0.011947971423989586,False
value: 5,value: 2,69906,1111,68795,0.015892770291534346,0.40006973672836615,0.014991946662213852,0.0168467961009462,False
value: 5,value: 3,10007,133,9874,0.013290696512441292,0.334567564819164,0.011226431591179717,0.01572849122231994,False
