bucket_1,bucket_2,bucket_3,rows,positives,negatives,positive_rate,lift,positive_rate_low_iid,positive_rate_high_iid,low_support
value: organic,value: 1,value: 1,53807,3213,50594,0.05971342018696452,1.5031697970286853,0.05774253458540664,0.06174716831658565,False
value: organic,value: 1,value: 2,54015,2205,51810,0.040821993890585946,1.027614698315568,0.039185651516722673,0.042523643603673895,False
value: organic,value: 1,value: 3,54285,1391,52894,0.02562402136870222,0.6450351508798544,0.024327996706949614,0.026987179376404775,False
value: organic,value: 1,value: 4,54142,838,53304,0.015477817590779801,0.38962410549477156,0.014471864563013349,0.016552520940317627,False
value: organic,value: 1,value: 5,53972,576,53396,0.010672200400207514,0.2686519924533043,0.00983947354493776,0.011574578141547016,False
value: organic,value: 2,value: 1,31615,3611,28004,0.1142179345247509,2.8752154694713883,0.11075854104581448,0.11777106742296461,False
value: organic,value: 2,value: 2,31493,2469,29024,0.07839837424189502,1.9735273566241667,0.07548083054194976,0.08141875779555735,False
value: organic,value: 2,value: 3,31607,1169,30438,0.03698547790046509,0.9310378326108265,0.034960511215883706,0.03912297883835609,False
value: organic,value: 2,value: 4,31448,716,30732,0.02276774357669804,0.5731338848759733,0.021176520507726226,0.024475542844450277,False
value: organic,value: 2,value: 5,31539,482,31057,0.015282665905704049,0.38471153947650216,0.013986615607727406,0.016696779231136914,False
value: organic,value: 3,value: 1,4571,264,4307,0.057755414570115945,1.453880794716575,0.051356703210470374,0.06489682461293808,False
value: organic,value: 3,value: 2,4481,188,4293,0.041954920776612364,1.056133940254559,0.036466574595138114,0.04822793742013721,False
value: organic,value: 3,value: 3,4534,119,4415,0.026246140273489194,0.6606957903962037,0.021978565032773113,0.03131581755315896,False
value: organic,value: 3,value: 4,4480,74,4406,0.016517857142857143,0.41580508855524584,0.013178510205683716,0.02068563512933674,False
value: organic,value: 3,value: 5,4451,58,4393,0.013030779600089868,0.3280246595365605,0.010094138507433934,0.01680725852958186,False
value: paid,value: 1,value: 1,36071,2139,33932,0.0592997144520529,1.4927555557470835,0.05690895373518315,0.061784331825292596,False
value: paid,value: 1,value: 2,35915,1414,34501,0.039370736461088685,0.9910821009713954,0.037408213636924495,0.041431786313164964,False
value: paid,value: 1,value: 3,35973,951,35022,0.02643649403719456,0.6654875780288121,0.02482853205300822,0.02814558633929511,False
value: paid,value: 1,value: 4,35976,622,35354,0.017289303980431398,0.4352247698031818,0.015993003267265594,0.018688679814880888,False
value: paid,value: 1,value: 5,35752,394,35358,0.011020362497202953,0.2774162994890611,0.009989524940633637,0.012156267928837564,False
value: paid,value: 2,value: 1,20868,2377,18491,0.1139064596511405,2.867374692287992,0.1096668906873201,0.1182881495139829,False
value: paid,value: 2,value: 2,20991,1655,19336,0.07884331380115288,1.9847278489906324,0.07527419442858749,0.0825665525625468,False
value: paid,value: 2,value: 3,21014,766,20248,0.03645188921671267,0.9176057700871659,0.0340015222533853,0.039071702788767516,False
value: paid,value: 2,value: 4,20880,504,20376,0.02413793103448276,0.6076257025672185,0.022142072046201285,0.026308854035375688,False
value: paid,value: 2,value: 5,20922,316,20606,0.015103718573750119,0.38020688668974495,0.013537828694652513,0.01684763800554908,False
value: paid,value: 3,value: 1,2960,167,2793,0.05641891891891892,1.4202371030564862,0.048667388609787594,0.06532030726215032,False
value: paid,value: 3,value: 2,2978,126,2852,0.04231027535258563,1.0650793040298459,0.03565083474090828,0.05014898471759451,False
value: paid,value: 3,value: 3,2940,75,2865,0.025510204081632654,0.6421700209347426,0.020400255178738558,0.031858489380937285,False
value: paid,value: 3,value: 4,3037,51,2986,0.016792887718142906,0.4227284510545728,0.012795646613954083,0.022010988409281167,False
value: paid,value: 3,value: 5,3090,36,3054,0.011650485436893204,0.29327842509485724,0.0084273619687142,0.016086324278674593,False
value: email,value: 1,value: 1,17929,1249,16680,0.06966367337832562,1.753648165596617,0.06602868398982403,0.07348303056838973,False
value: email,value: 1,value: 2,18179,877,17302,0.04824247758402552,1.2144110153310388,0.04522190857297069,0.05145393072319972,False
value: email,value: 1,value: 3,17777,533,17244,0.029982561737076,0.754752970096312,0.027575386907768257,0.0325928262388581,False
value: email,value: 1,value: 4,17933,367,17566,0.020465064406401605,0.5151683928609592,0.018493211827897472,0.02264231699497955,False
value: email,value: 1,value: 5,18243,250,17993,0.013703886422189332,0.3449688212004866,0.012116298266816714,0.015496231822720091,False
value: email,value: 2,value: 1,10548,1369,9179,0.12978763746681835,3.2671526108701907,0.1235087077434932,0.13633612308730758,False
value: email,value: 2,value: 2,10334,998,9336,0.09657441455389974,2.431073997580862,0.09102844388503294,0.10242020463475478,False
value: email,value: 2,value: 3,10419,444,9975,0.04261445436222286,1.0727364219565225,0.038901642370928226,0.046664415823878334,False
value: email,value: 2,value: 4,10624,333,10291,0.0313441265060241,0.7890277282825449,0.028196447080763777,0.034830599513420386,False
value: email,value: 2,value: 5,10465,189,10276,0.018060200668896322,0.4546306021119275,0.015679968964595115,0.0207941203912015,False
value: email,value: 3,value: 1,1419,95,1324,0.06694855532064835,1.6853003227350118,0.055078672014399005,0.08115678670027565,False
