feature,rule,status,requested_action,effective_action,related_feature,reason,evidence
rank_pos,all_missing,not_triggered,exclude,none,,Configured condition not met.,"{""unique_usable_values"": 5}"
rank_pos,constant,not_triggered,exclude,none,,Configured condition not met.,"{""missing_fraction"": 0.0, ""unique_usable_values"": 5}"
rank_pos,missingness,not_triggered,review,none,,Configured condition not met.,"{""operator"": "">="", ""threshold"": 0.8, ""value"": 0.0}"
rank_pos,near_constant,not_triggered,review,none,,Configured condition not met.,"{""operator"": "">="", ""threshold"": 0.995, ""value"": 0.2}"
rank_pos,high_cardinality,not_triggered,review,none,,Configured condition not met.,"{""operator"": "">="", ""threshold"": 1000, ""value"": 5}"
rank_pos,weak_signal,not_triggered,review,none,,At least one enabled marginal-strength criterion exceeds the weak-signal threshold.,"{""auc_distance_from_half"": 0.17395467372002926, ""cohens_d"": -0.6197867576548179, ""max_abs_d"": 0.05, ""max_auc_distance"": 0.02, ""max_mi"": 0.0001, ""mi_nats"": 0.007999604714602591, ""raw_auc"": 0.32604532627997074}"
rank_pos,direction,not_triggered,review,none,,"Observed Cohen's d: negative, raw-score AUC: negative; no configured direction mismatch.","{""cohens_d"": -0.6197867576548179, ""expected_direction"": ""negative"", ""min_abs_d"": 0.05, ""min_auc_distance"": 0.02, ""raw_auc"": 0.32604532627997074}"
apy,all_missing,not_triggered,exclude,none,,Configured condition not met.,"{""unique_usable_values"": 894234}"
apy,constant,not_triggered,exclude,none,,Configured condition not met.,"{""missing_fraction"": 0.030095, ""unique_usable_values"": 894234}"
apy,missingness,not_triggered,review,none,,Configured condition not met.,"{""operator"": "">="", ""threshold"": 0.8, ""value"": 0.030095}"
apy,near_constant,not_triggered,review,none,,Configured condition not met.,"{""operator"": "">="", ""threshold"": 0.995, ""value"": 5.155144060500771e-06}"
apy,high_cardinality,not_triggered,review,none,,Configured condition not met.,"{""operator"": "">="", ""threshold"": 1000, ""value"": 894234}"
apy,weak_signal,not_triggered,review,none,,At least one enabled marginal-strength criterion exceeds the weak-signal threshold.,"{""auc_distance_from_half"": 0.14982566653274187, ""cohens_d"": 0.533036486002365, ""max_abs_d"": 0.05, ""max_auc_distance"": 0.02, ""max_mi"": 0.0001, ""mi_nats"": 0.005438004385007224, ""raw_auc"": 0.6498256665327419}"
