feature,period,rows,js_divergence_nats_vs_all
rank_pos,2025-12-29/2026-01-04,47505,0.0
rank_pos,2026-01-05/2026-01-11,83530,0.0
rank_pos,2026-01-12/2026-01-18,81920,0.0
rank_pos,2026-01-19/2026-01-25,83975,0.0
rank_pos,2026-01-26/2026-02-01,83500,0.0
rank_pos,2026-02-02/2026-02-08,83060,0.0
rank_pos,2026-02-09/2026-02-15,83265,0.0
rank_pos,2026-02-16/2026-02-22,83080,0.0
rank_pos,2026-02-23/2026-03-01,84505,0.0
rank_pos,2026-03-02/2026-03-08,83600,0.0
rank_pos,2026-03-09/2026-03-15,82780,0.0
rank_pos,2026-03-16/2026-03-22,82990,0.0
rank_pos,2026-03-23/2026-03-29,36290,0.0
apy,2025-12-29/2026-01-04,47505,2.7134384413514914e-05
apy,2026-01-05/2026-01-11,83530,1.2169378504421868e-05
apy,2026-01-12/2026-01-18,81920,2.716854176067259e-06
apy,2026-01-19/2026-01-25,83975,1.2273669996494654e-05
apy,2026-01-26/2026-02-01,83500,2.7843230868315385e-05
apy,2026-02-02/2026-02-08,83060,1.9670314619123078e-05
apy,2026-02-09/2026-02-15,83265,2.389182475335225e-05
apy,2026-02-16/2026-02-22,83080,1.3581568400909975e-05
apy,2026-02-23/2026-03-01,84505,1.1169288919762519e-05
apy,2026-03-02/2026-03-08,83600,1.4553435977693557e-05
apy,2026-03-09/2026-03-15,82780,1.0158677414263459e-05
apy,2026-03-16/2026-03-22,82990,1.717000519947769e-05
apy,2026-03-23/2026-03-29,36290,3.733886348592332e-05
apy_rank_on_widget,2025-12-29/2026-01-04,47505,7.928934764478808e-06
apy_rank_on_widget,2026-01-05/2026-01-11,83530,1.1702572156702475e-05
apy_rank_on_widget,2026-01-12/2026-01-18,81920,4.418631289344076e-06
apy_rank_on_widget,2026-01-19/2026-01-25,83975,9.24054218593297e-07
apy_rank_on_widget,2026-01-26/2026-02-01,83500,6.2636751126062784e-06
