period,bucket,rows,positives,negatives,positive_rate,lift,positive_rate_low_iid,positive_rate_high_iid,low_support
2025-12-29/2026-01-04,value: 1,9501,668,8833,0.07030838859067466,1.7698776234279334,0.06533928980891932,0.07562481407703167,False
2025-12-29/2026-01-04,value: 2,9501,479,9022,0.05041574571097779,1.2691188347634432,0.046194985775583994,0.05499991189712625,False
2025-12-29/2026-01-04,value: 3,9501,267,9234,0.028102305020524156,0.7074211458911052,0.02496511860947546,0.03162093399864731,False
2025-12-29/2026-01-04,value: 4,9501,186,9315,0.019576886643511208,0.4928102364634665,0.016979107448060738,0.02256299964010171,False
2025-12-29/2026-01-04,value: 5,9501,113,9388,0.011893484896326703,0.2993954662385576,0.0099024713389923,0.01427904287315654,False
2026-01-05/2026-01-11,value: 1,16706,1280,15426,0.0766191787381779,1.928739552880501,0.07268240241452213,0.08075061878672384,False
2026-01-05/2026-01-11,value: 2,16706,876,15830,0.0524362504489405,1.3199811315025927,0.04915784630715582,0.05592043723896549,False
2026-01-05/2026-01-11,value: 3,16706,445,16261,0.02663713635819466,0.6705383601811116,0.024302111339381427,0.02918980604496086,False
2026-01-05/2026-01-11,value: 4,16706,302,16404,0.018077337483538847,0.45506198825774313,0.016165015381680428,0.020211239911862786,False
2026-01-05/2026-01-11,value: 5,16706,179,16527,0.010714713276667065,0.2697221718481325,0.009262112524643807,0.012392279571918387,False
2026-01-12/2026-01-18,value: 1,16384,1257,15127,0.07672119140625,1.9313075243864064,0.07274435690117359,0.0808964667025644,False
2026-01-12/2026-01-18,value: 2,16384,854,15530,0.0521240234375,1.3121214207048457,0.04882423399309803,0.05563378527211166,False
2026-01-12/2026-01-18,value: 3,16384,462,15922,0.0281982421875,0.7098361784140969,0.02577195546788607,0.030845718138010757,False
2026-01-12/2026-01-18,value: 4,16384,257,16127,0.01568603515625,0.39486557976714914,0.013893739876191495,0.017705385617054467,False
2026-01-12/2026-01-18,value: 5,16384,183,16201,0.01116943359375,0.2811688758653241,0.009670916488834985,0.012897123344234571,False
2026-01-19/2026-01-25,value: 1,16795,1193,15602,0.07103304554927062,1.7881194600193986,0.06724536815576247,0.07501691014949781,False
2026-01-19/2026-01-25,value: 2,16795,923,15872,0.05495683239059244,1.3834319041055363,0.05161086322986662,0.058506341183023655,False
2026-01-19/2026-01-25,value: 3,16795,521,16274,0.03102113724322715,0.780897098633786,0.028504418994052986,0.033752342067975276,False
2026-01-19/2026-01-25,value: 4,16795,328,16467,0.01952962191128312,0.4916204382953585,0.01754407625472855,0.021734909765716702,False
2026-01-19/2026-01-25,value: 5,16795,199,16596,0.01184876451324799,0.2982697171365133,0.010320312398421481,0.013600471651224768,False
2026-01-26/2026-02-01,value: 1,16700,1370,15330,0.08203592814371258,2.065095736783199,0.07796939235030496,0.0862947061557169,False
2026-01-26/2026-02-01,value: 2,16700,861,15839,0.05155688622754491,1.2978448389564483,0.048305003992312134,0.05501502949072477,False
2026-01-26/2026-02-01,value: 3,16700,497,16203,0.029760479041916168,0.7491624680155108,0.02728944340383492,0.03244780094685126,False
2026-01-26/2026-02-01,value: 4,16700,281,16419,0.016826347305389223,0.42357073141319623,0.014983784482038534,0.018891145438461508,False
2026-01-26/2026-02-01,value: 5,16700,197,16503,0.011796407185628743,0.29695172273451836,0.010267499983029374,0.013549863214620499,False
2026-02-02/2026-02-08,value: 1,16612,1297,15315,0.07807608957380208,1.9654144637835638,0.07409309549495807,0.08225417498538243,False
2026-02-02/2026-02-08,value: 2,16612,867,15745,0.05219118709366723,1.3138121357751347,0.04891134867528209,0.055678085638208114,False
2026-02-02/2026-02-08,value: 3,16612,473,16139,0.028473392728148327,0.7167625608092718,0.02605114469949604,0.031113667637856928,False
2026-02-02/2026-02-08,value: 4,16612,310,16302,0.018661208764748374,0.4697598178665418,0.016711858397665626,0.02083312302062549,False
2026-02-02/2026-02-08,value: 5,16612,206,16406,0.012400674211413436,0.31216297574357293,0.010826957752656938,0.014199849336907603,False
2026-02-09/2026-02-15,value: 1,16653,1326,15327,0.07962529274004684,2.004412655507787,0.07560998307902328,0.08383449896077444,False
2026-02-09/2026-02-15,value: 2,16653,926,15727,0.055605596589203145,1.3997632873304755,0.05222650765623646,0.05918966109392752,False
2026-02-09/2026-02-15,value: 3,16653,487,16166,0.029243980063652194,0.7361606057558764,0.026791511754597288,0.03191358316019367,False
2026-02-09/2026-02-15,value: 4,16653,309,16344,0.018555215276526753,0.467091636916973,0.01661388475392916,0.020718610746974796,False
2026-02-09/2026-02-15,value: 5,16653,217,16436,0.013030685161832704,0.3280222822361914,0.011417119420294336,0.01486886402399387,False
2026-02-16/2026-02-22,value: 1,16616,1375,15241,0.08275156475686085,2.0831105036340047,0.07865832158836183,0.0870376909544738,False
2026-02-16/2026-02-22,value: 2,16616,923,15693,0.05554886856042369,1.398335268984863,0.05216781614799654,0.05913537909631926,False
2026-02-16/2026-02-22,value: 3,16616,534,16082,0.03213769860375542,0.8090043701385882,0.029562337932156856,0.03492933976984871,False
2026-02-16/2026-02-22,value: 4,16616,352,16264,0.02118440057775638,0.5332762889303053,0.019103037900091404,0.023487107172864122,False
2026-02-16/2026-02-22,value: 5,16616,236,16380,0.014203177660086663,0.35753751189645466,0.012513003984514319,0.016117922489706015,False
2026-02-23/2026-03-01,value: 1,16901,1391,15510,0.08230282231820603,2.071814281137974,0.07825379894817339,0.08654168083238878,False
2026-02-23/2026-03-01,value: 2,16901,975,15926,0.05768889414827525,1.4522062718256827,0.05427328801613572,0.06130552197034948,False
2026-02-23/2026-03-01,value: 3,16901,555,16346,0.03283829359209514,0.8266404931930809,0.030255882493917415,0.035633020488932396,False
2026-02-23/2026-03-01,value: 4,16901,354,16547,0.02094550618306609,0.5272625848474786,0.018892927912351,0.023215805290187606,False
2026-02-23/2026-03-01,value: 5,16901,222,16679,0.013135317436838058,0.3306561972772324,0.011526096688927638,0.01496580859818271,False
2026-03-02/2026-03-08,value: 1,16720,1358,15362,0.0812200956937799,2.0445587336382602,0.07717500773896686,0.08545757075789291,False
2026-03-02/2026-03-08,value: 2,16720,948,15772,0.056698564593301436,1.4272766417445295,0.05329388509008383,0.06030689637502966,False
2026-03-02/2026-03-08,value: 3,16720,529,16191,0.031638755980861244,0.7964444551506921,0.02909133360841495,0.03440134308523098,False
2026-03-02/2026-03-08,value: 4,16720,367,16353,0.02194976076555024,0.5525427505487788,0.01983622874716077,0.024282908631502478,False
2026-03-02/2026-03-08,value: 5,16720,229,16491,0.013696172248803828,0.3447746318138156,0.012042828119689281,0.015572923916581313,False
2026-03-09/2026-03-15,value: 1,16556,1411,15145,0.08522589997583957,2.145397104489353,0.08106834835715693,0.08957588551716517,False
2026-03-09/2026-03-15,value: 2,16556,977,15579,0.059011838608359506,1.4855088384734927,0.05552361122442583,0.06270466189577595,False
2026-03-09/2026-03-15,value: 3,16556,515,16041,0.031106547475235564,0.7830471359404798,0.02856894563922175,0.03386169183949714,False
2026-03-09/2026-03-15,value: 4,16556,326,16230,0.019690746557139406,0.4956764394497018,0.017683151960585234,0.021921180028436103,False
2026-03-09/2026-03-15,value: 5,16556,255,16301,0.015402271079971008,0.3877223682812085,0.013635712781007375,0.01739365788648736,False
2026-03-16/2026-03-22,value: 1,16598,1495,15103,0.09007109290275937,2.267365460107221,0.08581013057524194,0.0945217600916239,False
2026-03-16/2026-03-22,value: 2,16598,976,15622,0.05880226533317267,1.4802332368325404,0.05532434435120572,0.06248436160903215,False
2026-03-16/2026-03-22,value: 3,16598,566,16032,0.034100494035425956,0.8584139467696904,0.0314455120694649,0.036971082658176724,False
2026-03-16/2026-03-22,value: 4,16598,353,16245,0.02126762260513315,0.5353712424199659,0.019180970986146156,0.0235758196133418,False
2026-03-16/2026-03-22,value: 5,16598,251,16347,0.015122303892035185,0.3806747361116472,0.013374717554893601,0.01709427951843626,False
2026-03-23/2026-03-29,value: 1,7258,635,6623,0.087489666574814,2.202383047824141,0.08120558614604355,0.09421017665244132,False
2026-03-23/2026-03-29,value: 2,7258,478,6780,0.06585836318545053,1.6578568454487232,0.060378650982544683,0.07179739062668238,False
2026-03-23/2026-03-29,value: 3,7258,268,6990,0.03692477266464591,0.929509695774598,0.03282558103927069,0.041513890826363115,False
2026-03-23/2026-03-29,value: 4,7258,157,7101,0.021631303389363463,0.5445262023754175,0.01852886752365013,0.02523984604894153,False
2026-03-23/2026-03-29,value: 5,7258,118,7140,0.016257922292642602,0.40926173172165137,0.013593890689757858,0.019433745644737918,False
